grid_id,total_trips,sum_of_passengers,sum_of_costs,sum_of_tips,count_of_payment_by_card,count_of_payment_by_cash,sum_of_duration_in_seconds,grid_index
C-74,1,2,14.3,0,0,1,930,8793
D-74,1,1,141.96,23.66,1,0,2905,8794
F-74,7,9,1513,256.1,6,1,28997,8795
G-74,15,22,2942.35,183.9,10,4,61417,8796
I-74,1,0,300.3,0,0,0,109,8798
Y-74,1,1,177.71,29.62,1,0,2571,8801
AC-74,1,2,92.8,10,1,0,3436,8802
AG-74,1,1,191,24.66,1,0,5616,8804
AH-74,2,2,317.36,19.51,2,0,4149,8805
AI-74,2,2,318.99,38.85,1,1,8650,8806
AJ-74,4,4,300.7,9,1,3,3934,8807
AK-74,1,1,94.25,15.7,1,0,2621,8808
AL-74,1,1,111.3,0,0,1,4045,8809
AM-74,1,2,81.95,13.65,1,0,2314,8810
AN-74,4,4,701.05,52.27,2,2,10650,8811
AO-74,1,2,157.56,26.26,1,0,1394,8812
AP-74,2,2,236.01,27.41,2,0,6637,8813
AS-74,1,1,10.06,0,1,0,1769,8814
AT-74,29,33,3187.22,471.65,24,4,48119,8815
AU-74,10,11,1213.7,352.16,10,0,104240,8816
AV-74,37,46,4739.93,907.33,35,2,90737,8817
AW-74,9,10,1176.65,184.12,9,0,20548,8818
AX-74,29,41,2712.6,350.99,20,8,57355,8819
AY-74,2,4,279.35,0,0,2,4037,8820
AZ-74,4,6,594.54,28,3,1,14726,8821
BA-74,6,7,1312.32,173.94,5,1,20278,8822
BB-74,4,12,344.56,33.36,4,0,8456,8823
BC-74,7,9,678.3,102.91,5,1,7434,8824
BD-74,7,8,559.85,14,2,3,9718,8825
BE-74,62,93,5760.01,528.91,42,16,111738,8826
BF-74,13,16,1199.39,120.41,12,1,25149,8827
BG-74,15,16,1337.06,193.56,15,0,21931,8828
BH-74,5,5,387.79,18,1,2,7670,8829
BI-74,11,14,724.58,37.92,5,5,15374,8830
BJ-74,26,37,2409.75,154.62,16,9,93279,8831
BK-74,22,29,1513.08,139.22,15,6,33496,8832
BL-74,28,33,2292.48,309.21,24,2,42472,8833
BM-74,25,34,1923.54,147.36,16,7,41364,8834
BN-74,22,38,1987.13,174.15,17,4,57855,8835
BO-74,28,43,2398.49,255.35,23,5,47053,8836
BP-74,10,16,759.83,84.39,6,2,14448,8837
BQ-74,1,1,90.05,8,1,0,2088,8838
BR-74,12,14,1064.94,103.55,9,1,21147,8839
BS-74,6,6,478.91,37.86,5,1,11220,8840
BT-74,4,4,556.47,93.69,4,0,14038,8841
BU-74,11,19,706.85,61.8,8,3,19375,8842
BV-74,13,21,1013.24,80.24,7,5,20995,8843
BW-74,4,4,263.36,29.87,3,1,6743,8844
BX-74,3,9,251.4,9,3,0,5858,8845
BY-74,1,2,10.3,0,0,1,772,8846
CA-74,8,15,621.93,2.02,4,3,16124,8847
CB-74,2,2,154.45,24.6,2,0,2388,8848
CC-74,14,20,1408.69,231.83,11,3,26786,8849
CD-74,10,13,624.16,26.66,8,2,14639,8850
CE-74,16,28,1121.15,240.77,12,4,23603,8851
CF-74,69,104,5051.24,445.3,41,26,116558,8852
CG-74,56,79,4330.51,297,36,17,104781,8853
CH-74,55,81,3806.62,364.37,35,17,91500,8854
CI-74,201,280,15138.68,1451.44,144,44,416121,8855
CJ-74,28,34,1737.82,201.41,21,6,119472,8856
CK-74,5,17,140.38,16.88,3,2,3744,8857
CL-74,6,7,140.27,17.97,4,2,6952,8858
CM-74,45821,75774,1129414.55,115950.48,29561,16026,55404119,8859
CN-74,117277,192077,2897677.38,310219.62,81364,35387,144559889,8860
CO-74,16661,28098,421549.11,37279.11,9336,7188,21805907,8861
CP-74,1363,2246,36092.46,1605.17,556,784,2210601,8862
CQ-74,7445,12731,198931.43,8296.34,2785,4539,11455902,8863
CR-74,8288,13229,209649.51,10824.63,3587,4625,11546170,8864
CS-74,6912,11539,194383.19,7349.06,2430,4375,10980858,8865
CT-74,1754,2962,50735.03,1441.44,549,1173,2968509,8866
CU-74,2309,3923,70808.82,3308.11,943,1328,3783869,8867
CV-74,148,251,5222.11,417.79,74,68,270636,8868
CW-74,1730,2808,60130.63,2864.66,631,1061,3151070,8869
CX-74,1259,2095,45381.73,1971.49,459,781,2329388,8870
CY-74,1132,1893,37882.56,1353,425,682,1971597,8871
CZ-74,1555,2688,52359.24,2115.04,514,1002,2440200,8872
DA-74,3882,6650,142294.3,6460.95,1516,2314,7134549,8873
DB-74,6856,11624,278631.87,17703.28,3500,3288,13358589,8874
DC-74,3185,5360,125236.96,7746.59,1670,1484,5862563,8875
DD-74,1840,3213,74111.71,3876.94,832,978,3494718,8876
DE-74,460,775,17327.06,1705.67,292,167,755674,8877
DF-74,1316,2353,54427.64,4133.38,709,592,2547077,8878
DG-74,1014,1667,42930.18,3342.39,518,486,1831602,8879
DH-74,683,1157,30717.51,2311.81,326,339,1234158,8880
DI-74,671,1112,29807.08,2492.93,368,298,1195212,8881
DJ-74,12,21,552.4,65.68,9,3,20663,8882
DN-74,53,94,3096.41,274.53,24,29,113750,8883
DO-74,79,131,4537.06,447.18,48,30,177563,8884
DX-74,3,4,340.6,52.66,3,0,10879,8885
DY-74,3,12,272.44,27,1,2,12361,8886
DZ-74,23,31,2325.68,222.08,12,11,104494,8887
EA-74,13,20,1200.86,131.83,11,2,28106,8888
EB-74,21,42,1697.49,166.86,11,10,50933,8889
